A - worst asymmetry,B - compactness,C - red variance,C - green variance,C - blue variance,Hair,Cancer
858022448.6,30.58819724,74.54679686,85.08108358,86.20777116,0.08384653,0
3190781.159,201.5712325,0.282971721,0.534548252,0.588560032,0.031878954,0
2408455.786,-1.067555369,0.366330281,0.496920668,0.588387604,0.070318748,1
1853330.592,-2.3904643,2.952701679,3.592145702,4.158396607,0.197231645,1
2544889.681,0.713480421,0.615599719,2.970866819,3.926450301,0.083589344,1
648772.8614,-0.338667123,0.098540804,0.146189273,0.148180982,0.069560951,0
1318542519,76.68683412,15.84742442,25.12366835,29.90462681,0.409221148,0
2047325.034,4.041941028,11.27905619,17.38400832,14.07351236,0.095232041,1
3064424.985,-0.436726908,9.811736349,20.88487837,19.8736532,0.12609943,1
3323134.042,-1.433845265,1.530409768,2.966777643,3.066522634,0.229479231,1
1860844.767,14.29781996,0.135175764,0.348877086,0.378256414,0.048927523,1
993779.7765,-8.203832275,0.04482593,0.055039947,0.070584078,0.053034592,0
1819558.901,-1.292740405,3.631809534,4.518042517,5.65611395,0.135697641,1
1589307.988,-1.170122744,19.62409517,29.24361634,36.94397221,0.188524118,1
1221505.818,0.167109618,3.636503269,7.095494214,6.503299081,0.121048264,1
7176551.909,1.4645581,0.141012241,0.215099293,0.338310738,0.091912041,0
2034807.727,10.39689777,0.082245367,0.112942022,0.122740492,0.030719377,0
6529554.864,0.065427929,21.38792166,24.39662687,30.47222286,0.167668643,0
1173719.812,-1.742652882,45.5024633,65.96484681,77.06072676,0.205255726,1
1368169.498,-19.47894201,97.34793061,136.5732968,151.6953266,0.111475781,1
1217612.277,-1.591460718,0.001534219,0.005634644,0.007947949,0.006699806,1
1266432.02,-3.44777787,0.21197444,0.3215939,0.351510955,0.057621963,1
5195170.888,0.023055844,81.9329565,121.0157972,140.5452707,0.28145165,0
1637341.315,5.72505408,8.46065383,9.194816852,11.00364022,0.213210198,1
1074235.118,-2.372921186,0.395737691,0.64087843,0.611520156,0.053041521,1
1450083.823,0.919872823,23.40159241,80.91330985,87.77134347,0.360099655,1
4528079.168,-34.03106718,1.134304036,5.368146621,6.398273282,0.110394763,1
2825102.142,-126.1793469,0.132879812,0.356107496,0.443329709,0.056431342,1
908070.9918,33.89483006,0.224388483,0.832202084,0.965417939,0.018611556,1
3322772.459,-14.25994303,5.877232329,94.06504427,102.2629182,0.11358533,1
3006050.268,5.334233518,1.397601835,22.38108954,24.32918855,0.070116007,1
2674243.242,-63.72539074,0.001828643,0.014661628,0.018436047,0.011960889,1
1282393.682,3.168531254,0.03194548,4.333032789,7.006477224,0.143479111,1
1604527.846,5.445244775,0.115977754,18.11579651,31.13779585,0.300526892,1
1533682178,-190.2536111,79.56208237,101.3484823,104.2842984,0.238015076,1
1703987.704,0.705774213,0.591946451,0.93337127,0.959263479,0.048884912,1
1294736.707,-2.607922829,0.876689336,1.216544934,1.227365846,0.143748792,1
2426773.915,-22.94920738,0.061922652,0.119630451,0.114820766,0.027343281,1
1017964.097,-4.895306267,1.380325265,4.131955399,3.864874911,0.223349083,1
1196759.626,-20.17059736,0.210018138,4.927450692,8.730328597,0.185929287,1
2841685.197,-27.26648882,0.777831128,2.325883513,2.726913441,0.117993968,1
8265062.779,-3.431282439,0.049698047,0.142906786,0.135456999,0.020961448,1
1319474.458,1.204749409,18.01335277,65.38430258,59.53272676,0.217822416,1
2529515.897,0.975241243,0.054617193,0.245152161,0.275069458,0.041594693,1
1631688.774,-6.20240159,4.146223938,9.668732816,8.790087389,0.1502989,0
1820832.405,-2.759937858,49.57539204,83.68282974,83.07620573,0.139023309,1
2679986.834,-44.69454844,0.081134349,0.11710091,0.096462447,0.039482741,0
1062535.146,38.6954505,0.27533332,0.310726644,0.306935103,0.093919144,1
890875967.7,461.3915311,18.76264806,19.6456841,15.78613262,0.867152669,1
1274176.664,2.249645216,2.157234435,6.30130592,6.807469767,0.098752204,1
982508.7829,2.112798285,2.882648993,8.937044805,9.985111015,0.147177879,1
4372107.233,8.882459089,0.043030571,0.529171152,0.557907553,0.144329557,1
7780099.144,-1.096446728,0.213554663,0.699050212,0.805809785,0.037428571,1
3474683.313,-2.189673033,0.420010418,0.799722088,0.720106641,0.029294492,1
1331810.777,59.51086286,0.03460049,0.131215804,0.106417921,0.055837563,1
1361010.317,-35.30519117,0.483349943,0.867380431,0.756016673,0.052554898,1
1341401.323,20.74295135,2.303915003,4.839827892,5.924795952,0.114014179,1
7502918.364,-0.776957291,3.214456688,6.400164349,6.977399176,0.093190961,1
5766135.286,0.383056613,28.38822726,172.6579619,228.9932656,0.158792047,1
2460762.744,2.911078106,2.961562106,3.951428873,4.11371391,0.056404592,1
1724801.328,-2.218742377,10.61968484,26.6009807,29.27827704,0.100523169,1
785207.9336,-6.376850436,0.005397058,0.035333494,0.04667768,0.014897618,1
1771047.318,6.500012672,0.504780475,0.599018237,0.590742954,0.113853675,1
887224.0938,0.406170331,9.559031687,17.71844837,17.88656123,0.152490777,1
2939424.351,-8.289106142,0.781011773,1.601568056,1.847549502,0.07579803,1
1758412.034,2.71822337,0.075202291,0.184823064,0.23320357,0.047278465,1
3642132.967,51.79354765,0.02572957,0.038440905,0.034733865,0.005081868,1
2552544.988,15.74970479,22.54834881,44.64197844,51.01189806,0.349369798,1
1173233.065,0.99595353,0.626269535,7.113528946,10.11357024,0.233420776,1
1454359.962,4.608742358,0.093860811,1.231208549,1.66357868,0.062406996,1
5860936.277,7.550499764,0.233766915,1.086231778,1.531190924,0.070196312,0
4435525.237,0.396612051,0.520040457,0.891948969,0.817470525,0.083962987,1
1966558.782,-7.211737758,0.16754426,0.772181678,0.935187881,0.051253125,1
3133790.774,-1.266070613,0.115034109,0.2239358,0.226651744,0.073387794,1
5532190.251,-101.3789162,0.021406354,0.061514204,0.061066343,0.053628989,1
1053804.821,-0.84227865,1.838204503,4.367546239,4.669236691,0.055432384,1
1705819.572,-0.221537493,4.757760653,61.50103921,81.1527782,0.162837308,1
2793725.885,4.765182264,0.025985781,0.054144712,0.062559868,0.073985702,1
1067202.784,14.00143507,2.623208714,7.639112929,7.661642045,0.1047791,1
959126.4097,-0.016296195,2.388720094,13.39687344,24.85526461,0.101162717,1
1087842.606,-4.82180245,3.727794464,19.23304028,36.8024391,0.180631405,1
1427175.756,0.828138199,3.371853198,7.14470454,9.929951707,0.200569457,1
1955679.99,-10.90249034,0.004888932,0.019107442,0.021365956,0.041584925,1
3281588.701,0.639015939,0.923647411,1.320575657,1.311531563,0.234434598,1
4301807.453,0.785073781,0.160633667,0.423556037,0.434283629,0.170647352,0
1344010.571,29.19568331,0.738460765,3.040957477,4.717001431,0.197901167,1
5312137.264,0.394100696,3.424239117,5.397905086,6.046429814,0.104660519,1
1097018.138,-0.382108451,2.686707875,15.4510909,22.83056891,0.057415836,1
2478301.731,0.023067383,0.21399536,1.175937733,1.842249874,0.027981559,0
6873237.196,-2.559572574,0.617705661,2.075250173,2.066669738,0.100112202,1
3731844.24,-4.089464415,13.02169588,23.91330232,26.68932663,0.137846689,1
1759437.142,-34.84440584,0.064533476,0.269244467,0.264850386,0.037338688,1
8809841.807,-247.1540263,0.007131874,0.016830255,0.022425637,0.018723747,1
993326.0636,-2.541439085,7.297749183,13.34832033,13.7535288,0.104885624,1
6247461.282,-1.732247615,1.666507474,4.017209259,4.096201514,0.081201936,0
2213516.544,9.888999124,0.783623072,1.376326341,0.9743802,0.031061543,1
1226373.471,30.92459275,10.66070586,19.49244089,22.22146323,0.088654792,1
2450402.496,3.039826035,1.274309756,4.254959225,4.234283279,0.113782468,1
1899344.358,-10.85166301,1.085712741,2.450051512,2.269402301,0.046843347,1
1931590.674,1.019710692,3.389472174,5.814944634,4.442666837,0.127415747,1
1342114.388,1.702440042,0.111617432,0.2463496,0.240527647,0.13023787,0
2120694.203,-11.77080192,7.189138438,28.78937056,23.18736923,0.106305556,1
1536618.848,-1.760571802,0,0,0,0.067604041,1
1340690.979,4.98319896,0.083800475,0.523975516,0.64257565,0.05917226,1
1553237.106,21.87413292,0.02082952,0.043009288,0.049270626,0.023231114,1
2092458.007,-3.914592981,2.288650585,3.245314829,3.779029105,0.090381139,0
2431690.81,5.681647615,0.102956987,0.399008415,0.434608447,0.056535977,1
3369232.636,-25.39896019,0.005424377,0.030695806,0.036707845,0.01512111,1
1727801.348,13.29969269,0.554745711,3.288437717,5.428967129,0.055239738,0
1280085.55,-0.923162055,1.465769747,2.788112192,2.705928658,0.089942101,1
1160035.603,-2.124297219,45.68632385,165.7224568,298.0284271,0.166578059,1
3348396.349,-2.688718714,1.236284921,2.947763207,3.620126144,0.070089722,1
597172.663,-0.08545796,9.579817069,53.252379,67.58445559,0.109628925,1
3133315.509,1.336148062,8.767253719,20.77957955,19.37850765,0.251972434,1
856358.4323,-59.89137823,0.065258218,0.118184415,0.095101389,0.020380859,0
559706.9931,-6.023521695,3.278761495,7.784096972,8.594328293,0.130059439,1
1049169.792,1.731900058,0.005790156,0.022691318,0.029004464,0.021324023,1
7222161.503,-6.501678017,1.181933064,1.831087058,1.612872017,0.061761491,1
3385972.011,-84.57530114,0.13014543,0.173525989,0.135881096,0.066613911,1
577301.2091,-2.369757935,55.16619361,58.8140532,53.76726744,0.629021004,1
951966.4209,-3.991048212,0.885355636,1.111852563,1.314397728,0.108150183,0
1110547.827,6.150970089,1.320271464,2.11535568,2.750636157,0.201621428,0
1302480.113,-11.26207948,0.111077182,0.243752092,0.212533434,0.14059883,1
7759327.639,-8.501328946,0.060461788,0.124603467,0.109449462,0.067977604,1
2773399.492,11.44361098,0.807686204,1.012093873,0.908805469,0.086853158,1
2094596686,307.895239,3.968128958,4.802277878,5.553535817,0.183951348,0
2235520.199,-1.247961274,0.771572147,1.553739234,1.190201545,0.10014531,1
1658697.545,-3.644758377,1.105998975,2.637302448,2.536445999,0.062447293,1
1397749.729,2.93375374,0.179003152,0.276704015,0.256295044,0.071481565,1
391950.8368,4.092418173,0.528649718,0.709291389,0.66674784,0.153292549,1
1090480.756,-0.747446572,0.927043719,3.313451549,4.032986892,0.112279862,1
1047783817,-104.6452932,87.9323595,153.0149855,185.4460298,0.452861355,0
1115411.532,2.177929249,0.609096799,0.899776474,0.828821115,0.053884016,1
2372358.765,-16.21079277,0.661765122,1.386019952,1.450986245,0.140174394,1
1953284.009,67.20006307,0.396803921,0.384018397,0.3656703,0.041714678,1
620935.1005,-20.89706622,0.344509863,0.398611742,0.465511941,0.047231834,1
763738.6591,0.547290239,0.156607117,0.180864313,0.208307624,0.032937116,0
1888976.323,2.468286193,0.065102003,0.135976305,0.103911054,0.024700339,1
1417365.215,1.878242847,6.732020351,39.94004339,44.8123815,0.104261255,1
537575.9323,29.70043925,1.960712883,7.496836396,10.24366382,0.108906351,0
2476863.907,-5.623007336,2.748207255,4.99531207,4.844679925,0.330098055,1
2730496.069,5.590802938,0.961169876,1.30812361,0.997149422,0.105908453,1
1164822.026,0.210307869,0.685793933,0.951122935,0.819690657,0.086804675,1
5016701.736,-3.79395337,0.023063244,0.058726506,0.057661722,0.052423295,1
2766630.747,1.72229885,8.573082182,11.64664875,12.27010759,0.073186078,1
2617113.733,0.924582306,77.18702663,75.22299333,68.46570278,0.186003895,1
3257454.273,0.826398341,54.90299314,98.69429084,147.1416712,0.147488713,1
4823613.814,6.275249259,0.482772173,0.937548579,1.111277684,0.053481415,1
5501749.323,-1.799482252,19.14807251,29.03430798,27.37682486,0.155937319,1
516680.1116,6.857187427,0.001684733,0.006590855,0.008997733,0.023851198,1
819861.9034,-2.022319529,0.495113207,1.24253313,1.088854096,0.059744468,1
8632863.439,1.837481806,0.040725978,0.06260879,0.065609948,0.014176178,0
4449972.493,-15.24786105,0.063833835,0.175360842,0.198537903,0.040271457,1
3593898.353,22.63021773,0.018890182,0.025592313,0.027685413,0.03416529,0
2907725.615,-123.9623352,0.238936503,0.348530827,0.468340282,0.032624828,0
1320206.715,7.708808015,3.957899449,4.68991121,4.181230941,0.282744294,1
1790709.582,55.86802815,0.663156539,0.996809937,1.077888759,0.053633333,1
4777549.633,-35.65370051,0.073470916,0.110831933,0.11896602,0.021203665,1
3059273.675,-3.0849441,0.14073254,0.48185076,0.715131993,0.102624732,1
2442322.596,-4.193648164,0.732277403,1.62482243,3.277698305,0.152577938,0
4976344.613,-1.790970935,6.059381383,9.00210405,11.22217733,0.041580619,1
1987605.157,-3.93011724,0.227554977,0.498127261,0.513393466,0.079101739,0
2317304.028,-2.586913889,15.51994992,21.08999307,23.89365069,0.042485297,0
1080699817,129.1001747,1.194653681,1.56128517,1.542493101,0.352041724,1
1313782.148,-21.72903768,0.064721115,0.146720922,0.145821631,0.044794238,1
1839588.895,-0.015991527,0.169157875,0.31103317,0.296412001,0.099605565,0
2306079.524,27.69447118,0.008106425,0.018881392,0.018845953,0.019943926,0
2289925.188,-1.104086677,0.201954126,0.444132868,0.411384931,0.074248971,1
1408516.483,-158.4907206,0.021613334,0.048377388,0.053636852,0.038780138,0
2357948.23,-0.080213237,26.71798014,36.51126997,37.8469844,0.120104912,1
3345036.9,-14.90955261,0.312648732,0.41184439,0.435649707,0.022170468,1
1173827.671,-4.482172073,0.318511456,0.684595478,0.734277471,0.025276689,1
4968469.447,3.091811878,0.486231383,0.688878096,0.566575077,0.150778369,1
3395455.411,-14.62662877,0.649878741,1.268210258,1.437006933,0.087224379,1
